paridigitata "Same as Artiodactyla."
noctambulo "A noctambulist."
potently "With great force or energy; powerfully; efficaciously."
virole "A ring surrounding a bugle or hunting horn."
appeal "To summon; to challenge."
scrobicula "One of the smooth areas surrounding the tubercles of a sea urchin."
soaked "of Soak"
clypeiform "Shield-shaped; clypeate."
districting "of District"
luffer "See Louver."
amphitheatrically "In the form or manner of an amphitheater."
larderer "One in charge of the larder."
pern "To take profit of; to make profitable."
correption "Chiding; reproof; reproach."
schooled "of School"
director "A part of a machine or instrument which directs its motion or action."
epitheloid "Epithelioid."
inmeshing "of Inmesh"
reyse "To raise."
heartlings "An exclamation used in addressing a familiar acquaintance."
brahmans "of Brahmin"
himself "Alt. of Himselven"
ferdness "Fearfulness."
tumultuariness "The quality or state of being tumultuary."
accentuate "To pronounce with an accent or with accents."
discerptibility "Capability or liableness to be discerped."
promt "Easy; unobstructed."
physiologist "One who is versed in the science of physiology; a student of the properties and functions of animal and vegetable organs and tissues."
tomatoes "of Tomato"
brutely "In a rude or violent manner."
ophiurioid "Of or pertaining to the Ophiurioidea."
tollhouses "of Tollhouse"
downfallen "Fallen; ruined."
bathe "To lave; to wet."
adoor "Alt. of Adoors"
stop "To make fast; to stopper."
widow-maker "One who makes widows by destroying husbands."
consummative "Serving to consummate; completing."
scoleces "of Scolex"
lash "A stroke of satire or sarcasm; an expression or retort that cuts or gives pain; a cut."
sharker "One who lives by sharking."
emanated "of Emanate"
assessed "of Assess"
heel "The latter or remaining part of anything; the closing or concluding part."
behind "At the back part; in the rear."
plaguer "One who plagues or annoys."
licensee "The person to whom a license is given."
victimate "To make a victim of; to sacrifice; to immolate."
turbinella "A genus of large marine gastropods having a thick heavy shell with conspicuous folds on the columella."
daguerreotyping "of Daguerreotype"
vehiculatory "Vehicular."
quech "Alt. of Queck"
saccharous "Saccharine."
comprehending "of Comprehend"
auntre "To venture; to dare."
district "Rigorous; stringent; harsh."
blastophoral "Alt. of Blastophoric"
workingman "A laboring man; a man who earns his daily support by manual labor."
osphradia "of Osphradium"
premise "A proposition antecedently supposed or proved; something previously stated or assumed as the basis of further argument; a condition; a supposition."
prevarication "A secret abuse in the exercise of a public office."
net "To take in a net; to capture by stratagem or wile."
quiddling "of Quiddle"
haggadoth "of Haggada"
toilless "Free from toil."
adjurer "One who adjures."
weanling "A child or animal newly weaned; a wean."
mareis "A Marsh."
conferee "One upon whom something is conferred."
astromantic "Of or pertaining to divination by means of the stars; astrologic."
regardant "Looking behind; looking backward watchfully."
infecund "Unfruitful; not producing young; barren; infertile."
pommage "See Pomage."
refocillate "To refresh; to revive."
sonsy "Lucky; fortunate; thriving; plump."
gulas "of Gula"
overspring "To spring or leap over."
high-finished "Finished with great care; polished."
coadventure "An adventure in which two or more persons are partakers."
isochasm "A line connecting places on the earth's surface at which there is the same mean frequency of auroras."
snakeweed "A kind of knotweed ."
arbitrator "One who has the power of deciding or prescribing without control; a ruler; a governor."
somniloquence "The act of talking in one's sleep; somniloquism."
misbode "of Misbede"
escorted "of Escort"
extorted "of Extort"
decardinalize "To depose from the rank of cardinal."
remandment "A remand."
sober "To make sober."
spermatozoon "Same as Spermatozoid."
evenfall "Beginning of evening."
leipothymic "See Lipothymic."
endless "Infinite; excessive; unlimited."
stooped "of Stoop"
fraternism "Fraternization."
landsmen "of Landsman"
chalybeous "Steel blue; of the color of tempered steel."
missionaries "of Missionary"
cerite "A gastropod shell belonging to the family Cerithiidae; -- so called from its hornlike form."
corpulently "In a corpulent manner."
strong-water "An acid."
efflagitate "To ask urgently."
defalcated "of Defalcate"
