adaptorial "Adaptive."
hirudine "Of or pertaining to the leeches."
train "To draw along; to trail; to drag."
ectodermic "Of or relating to the ectoderm."
insolating "of Insolate"
hydrosulphate "Same as Hydrosulphurent."
praecommissure "A transverse commissure in the anterior part of the third ventricle of the brain; the anterior cerebral commissure."
arteries "of Artery"
androgynous "Alt. of Androgynal"
strontitic "Strontic."
plank-sheer "The course of plank laid horizontally over the timberheads of a vessel's frame."
eagle-eyed "Sharp-sighted as an eagle."
surculate "To purne; to trim."
quick-witted "Having ready wit"
certifier "One who certifies or assures."
milkily "In a milky manner."
sapphire "The color of the gem; bright blue."
naseberry "A tropical fruit. See Sapodilla."
spoutless "Having no spout."
temperateness "The quality or state of being temperate; moderateness; temperance."
mesocuneiform "Alt. of Mesocuniform"
aristocracy "Government by the best citizens."
dishabilitate "To disqualify."
memoir "Alt. of Memoirs"
abrogator "One who repeals by authority."
idealist "One who idealizes; one who forms picturesque fancies; one given to romantic expectations."
sawbelly "The alewife."
jawing "of Jaw"
apsides "See Apsis."
mannerliness "The quality or state of being mannerly; civility; complaisance."
solempne "Solemn; grand; stately; splendid; magnificent."
stingaree "Any sting ray. See under 6th Ray."
ayenward "Backward."
certificated "of Certificate"
speculating "of Speculate"
gaingiving "A misgiving."
sugarplum "A kind of candy or sweetneat made up in small balls or disks."
potter "One whose occupation is to make earthen vessels."
circumspectness "Vigilance in guarding against evil from every quarter; caution."
sarrasin "Alt. of Sarrasine"
anglian "Of or pertaining to the Angles."
tuscor "A tush of a horse."
temporally "In a temporal manner; secularly."
soberly "In a sober manner; temperately; cooly; calmly; gravely; seriously."
ctenoidean "Relating to the Ctenoidei."
belle-lettrist "One versed in belles-lettres."
kurdish "Of or pertaining to the Kurds."
irrelative "Not relative; without mutual relations; unconnected."
manipulatory "Of or pertaining to manipulation."
dairy "A dairy farm."
ingross "See Engross."
monasteries "of Monastery"
hunt-counter "A worthless dog that runs back on the scent; a blunderer."
dermatic "Alt. of Dermatine"
mixing "of Mix"
boatmanship "The art of managing a boat."
recur "To come back; to return again or repeatedly; to come again to mind."
clutch "The nest complement of eggs of a bird."
unthrifty "Not thrifty; profuse."
unprovide "To deprive of necessary provision; to unfurnish."
lammaking "Enacting laws; legislative."
drain "To filter."
theologizing "of Theologize"
mawky "Maggoty."
spaceless "Without space."
sciography "See Sciagraphy."
irreligious "Destitute of religion; not controlled by religious motives or principles; ungodly. Cf. Impious."
whiling "of While"
decorated "of Decorate"
hebraically "After the manner of the Hebrews or of the Hebrew language."
locusting "Swarming and devastating like locusts."
catechism "A form of instruction by means of questions and answers."
hippophagi "Eaters of horseflesh."
biestings "Alt. of Beestings"
crazing-mill "A mill for grinding tin ore."
lightly "Swiftly; nimbly; with agility."
liberated "of Liberate"
fellness "The quality or state of being fell or cruel; fierce barbarity."
scabbard "To put in a scabbard."
officiated "of Officiate"
hoppet "An infant in arms."
gepound "See Gipoun."
plague "Fig.: To vex; to tease; to harass."
sons-in-law "of Son-in-law"
thenceforward "From that time onward; thenceforth."
isostemony "The quality or state of being isostemonous."
immorality "The state or quality of being immoral; vice."
unambiguity "Absence of ambiguity; clearness; perspicuity."
plumular "Relating to a plumule."
appellation "The act of appealing; appeal."
appendicle "A small appendage."
arcubus "See Arquebus."
nasoseptal "Of or pertaining to the internasal septum."
leper "A person affected with leprosy."
gastrotrocha "A form of annelid larva having cilia on the ventral side."
adducible "Capable of being adduced."
unbark "To cause to disembark; to land."
hyoideal "Alt. of Hyoidean"
pathfinder "One who discovers a way or path; one who explores untraversed regions."
comprehensibility "The quality or state of being comprehensible; capability of being understood."
