a "In; on; at; by."
aaronic "Alt. of Aaronical"
abacinate "To blind by a red-hot metal plate held before the eyes."
abacination "The act of abacinating."
abaciscus "One of the tiles or squares of a tessellated pavement; an abaculus."
abacist "One who uses an abacus in casting accounts; a calculator."
aback "Toward the back or rear; backward."
abactinal "Pertaining to the surface or end opposite to the mouth in a radiate animal; -- opposed to actinal."
abaction "Stealing cattle on a large scale."
abactor "One who steals and drives away cattle or beasts by herds or droves."
abaculi "of Abaculus"
abacuses "of Abacus"
abaci "of Abacus"
abada "The rhinoceros."
abaddon "Hell; the bottomless pit."
abaisance "Obeisance."
abaiser "Ivory black or animal charcoal."
abaist "Abashed; confounded; discomfited."
abalienate "To transfer the title of from one to another; to alienate."
abalienation "The act of abalienating; alienation; estrangement."
aband "To abandon."
abandoned "of Abandon"
abandoning "of Abandon"
abandon "To cast or drive out; to banish; to expel; to reject."
abandonedly "Unrestrainedly."
abandonee "One to whom anything is legally abandoned."
abandoner "One who abandons."
abandonment "The relinquishment by the insured to the underwriters of what may remain of the property insured after a loss or damage by a peril insured against."
abandum "Anything forfeited or confiscated."
abanet "See Abnet."
abannation "Alt. of Abannition"
abannition "Banishment."
abased "of Abase"
abasing "of Abase"
abasedly "Abjectly; downcastly."
abashed "of Abash"
abashing "of Abash"
abashedly "In an abashed manner."
abashment "The state of being abashed; confusion from shame."
abassi "Alt. of Abassis"
abated "of Abate"
abating "of Abate"
abate "To beat down; to overthrow."
abatement "The amount abated; that which is taken away by way of reduction; deduction; decrease; a rebate or discount allowed."
abatis "Alt. of Abattis"
abatised "Provided with an abatis."
abator "One who abates a nuisance."
abattoirs "of Abattoir"
abature "Grass and sprigs beaten or trampled down by a stag passing through them."
abatvoix "The sounding-board over a pulpit or rostrum."
abawed "Astonished; abashed."
abaxial "Alt. of Abaxile"
abaxile "Away from the axis or central line; eccentric."
abay "Barking; baying of dogs upon their prey. See Bay."
abbacies "of Abbacy"
abbatical "Abbatial."
abbeys "of Abbey"
abbey "The church of a monastery."
abbot "The superior or head of an abbey."
abbotship "The state or office of an abbot."
abbreviated "of Abbreviate"
abbreviating "of Abbreviate"
abbreviate "Abbreviated; abridged; shortened."
abbreviation "The result of abbreviating; an abridgment."
abbreviator "One who abbreviates or shortens."
abbreviatory "Serving or tending to abbreviate; shortening; abridging."
abbreviature "An abbreviation; an abbreviated state or form."
abb "wool See Abb."
abdal "A religious devotee or dervish in Persia."
abderian "Given to laughter; inclined to foolish or incessant merriment."
abdest "Purification by washing the hands before prayer; -- a Mohammedan rite."
abdicable "Capable of being abdicated."
abdicant "Abdicating; renouncing; -- followed by of."
abdicated "of Abdicate"
abdicating "of Abdicate"
abdicate "To reject; to cast off."
abdicator "One who abdicates."
abditive "Having the quality of hiding."
abditory "A place for hiding or preserving articles of value."
abdominals "of Abdominal"
abdominales "of Abdominal"
abdominal "A fish of the group Abdominales."
abdominalia "A group of cirripeds having abdominal appendages."
abdominoscopy "Examination of the abdomen to detect abdominal disease."
abdominous "Having a protuberant belly; pot-bellied."
abduced "of Abduce"
abducing "of Abduce"
abduce "To draw or conduct away; to withdraw; to draw to a different part."
abducted "of Abduct"
abducting "of Abduct"
abduct "To take away surreptitiously by force; to carry away wrongfully and usually by violence; to kidnap."
abduction "The act of abducing or abducting; a drawing apart; a carrying away."
abductor "One who abducts."
abear "To bear; to behave."
abearance "Behavior."
abearing "Behavior."
abecedarian "One engaged in teaching the alphabet."
abecedary "A primer; the first principle or rudiment of anything."
abegge "Same as Aby."
abele "The white poplar ."
abelian "Alt. of Abelonian"
abelite "Alt. of Abelonian"
aberr "To wander; to stray."
aberrance "Alt. of Aberrancy"
aberrant "Wandering; straying from the right way."
aberrate "To go astray; to diverge."
aberration "A partial alienation of reason."
aberrational "Characterized by aberration."
aberuncate "To weed out."
aberuncator "A weeding machine."
abetted "of Abet"
abetting "of Abet"
abet "Act of abetting; aid."
abettal "Abetment."
abetter "Alt. of Abettor"
abettor "One who abets; an instigator of an offense or an offender."
abevacuation "A partial evacuation."
abeyance "Expectancy; condition of being undetermined."
abeyancy "Abeyance."
abeyant "Being in a state of abeyance."
abhal "The berries of a species of cypress in the East Indies."
abhominable "Abominable."
abhominal "Inhuman."
abhorred "of Abhor"
abhorring "of Abhor"
abhor "To shrink back with shuddering from; to regard with horror or detestation; to feel excessive repugnance toward; to detest to extremity; to loathe."
abhorrence "Extreme hatred or detestation; the feeling of utter dislike."
abhorrency "Abhorrence."
abhorrent "Contrary or repugnant; discordant; inconsistent; -- followed by to."
abhorrently "With abhorrence."
abhorrer "One who abhors."
abhorrible "Detestable."
abidance "The state of abiding; abode; continuance; compliance ."
abode "of Abide"
abid "of Abide"
abiding "of Abide"
abide "To wait; to pause; to delay."
abider "One who dwells; a resident."
abidingly "Permanently."
abietene "A volatile oil distilled from the resin or balsam of the nut pine of California."
abietin "Alt. of Abietine"
abigail "A lady's waiting-maid."
abiliment "Habiliment."
abilities "of Ability"
abime "Alt. of Abyme"
abyme "A abyss."
abiogenetic "Of or pertaining to abiogenesis."
abiogenist "One who believes that life can be produced independently of antecedent."
abiogenous "Produced by spontaneous generation."
abiogeny "Same as Abiogenesis."
abiological "Pertaining to the study of inanimate things."
abirritant "A medicine that diminishes irritation."
abirritate "To diminish the sensibility of; to debilitate."
abirritation "A pathological condition opposite to that of irritation; debility; want of strength; asthenia."
abirritative "Characterized by abirritation or debility."
abit "3d sing. pres. of Abide."
abject "Cast down; low-lying."
abjectedness "A very abject or low condition; abjectness."
abjection "The act of bringing down or humbling."
abjectly "Meanly; servilely."
abjectness "The state of being abject; abasement; meanness; servility."
abjudge "To take away by judicial decision."
abjudication "Rejection by judicial sentence."
abjugate "To unyoke."
abjunctive "Exceptional."
abjuratory "Containing abjuration."
abjured "of Abjure"
abjuring "of Abjure"
abjure "To renounce on oath."
abjurement "Renunciation."
abjurer "One who abjures."
ablactate "To wean."
ablaqueation "The act or process of laying bare the roots of trees to expose them to the air and water."
ablastemic "Non-germinal."
ablation "A carrying or taking away; removal."
ablative "Taking away or removing."
ablaze "In a state of glowing excitement or ardent desire."
able "Fit; adapted; suitable."
ablegate "To send abroad."
ablegation "The act of sending abroad."
able-minded "Having much intellectual power."
ableness "Ability of body or mind; force; vigor."
ablepsy "Blindness."
abler "comp. of Able."
ablet "Alt. of Ablen"
ablen "A small fresh-water fish ; the bleak."
abligate "To tie up so as to hinder from."
abligurition "Prodigal expense for food."
ablins "Perhaps."
abloom "In or into bloom; in a blooming state."
ablude "To be unlike; to differ."
abluent "Washing away; carrying off impurities; detergent."
ablush "Blushing; ruddy."
ablution "The water used in cleansing."
ablutionary "Pertaining to ablution."
abluvion "That which is washed off."
abnegated "of Abnegate"
abnegating "of Abnegate"
abnegate "To deny and reject; to abjure."
abnegation "a denial; a renunciation."
abnegative "Denying; renouncing; negative."
abnet "The girdle of a Jewish priest or officer."
abnodate "To clear from knots."
abnodation "The act of cutting away the knots of trees."
abnormal "Not conformed to rule or system; deviating from the type; anomalous; irregular."
abnormalities "of Abnormality"
abnormality "The state or quality of being abnormal; variation; irregularity."
abnormally "In an abnormal manner; irregularly."
abnormities "of Abnormity"
abnormity "Departure from the ordinary type; irregularity; monstrosity."
abnormous "Abnormal; irregular."
aboard "Across; athwart."
abodance "An omen; a portending."
abodement "A foreboding; an omen."
aboding "A foreboding."
abolished "of Abolish"
abolishing "of Abolish"
abolishable "Capable of being abolished."
abolisher "One who abolishes."
abolishment "The act of abolishing; abolition; destruction."
abolitionism "The principles or measures of abolitionists."
abolitionize "To imbue with the principles of abolitionism."
aboma "A large South American serpent ."
abomasum "Alt. of Abomasus"
abominable "Excessive; large; -- used as an intensive."
abominableness "The quality or state of being abominable; odiousness."
abominably "In an abominable manner; very odiously; detestably."
abominated "of Abominate"
abominating "of Abominate"
abomination "A cause of pollution or wickedness."
aboon "and adv. Above."
abord "Manner of approaching or accosting; address."
aboriginal "An original inhabitant of any land; one of the aborigines."
aboriginality "The quality of being aboriginal."
aboriginally "Primarily."
aborigines "The earliest known inhabitants of a country; native races."
aborsement "Abortment; abortion."
aborsive "Abortive."
abort "To miscarry; to bring forth young prematurely."
aborted "Brought forth prematurely."
